tsne_x,tsne_y,method,family
-18.861053,-23.23618,GT-GAN,Generative AI
-19.515688,-20.25221,GT-GAN,Generative AI
-13.424441,-47.18623,GT-GAN,Generative AI
-17.99339,-20.402826,GT-GAN,Generative AI
-17.752754,-19.573282,GT-GAN,Generative AI
-14.112765,-39.459064,GT-GAN,Generative AI
-12.39593,-47.370304,GT-GAN,Generative AI
-18.404572,-19.941118,GT-GAN,Generative AI
-17.738672,-33.13345,GT-GAN,Generative AI
-16.436634,-36.476784,GT-GAN,Generative AI
-18.510681,-30.122246,GT-GAN,Generative AI
-12.783286,-43.390457,GT-GAN,Generative AI
-17.612377,-34.620712,GT-GAN,Generative AI
-13.7525015,-40.478783,GT-GAN,Generative AI
-12.814653,-46.430138,GT-GAN,Generative AI
-18.66521,-24.06777,GT-GAN,Generative AI
-14.347664,-45.06773,GT-GAN,Generative AI
-16.640247,-36.287952,GT-GAN,Generative AI
-18.574005,-29.769613,GT-GAN,Generative AI
-15.255489,-37.585445,GT-GAN,Generative AI
-18.410547,-30.586725,GT-GAN,Generative AI
-18.702873,-28.646526,GT-GAN,Generative AI
-18.655355,-29.145424,GT-GAN,Generative AI
-15.3235445,-39.638393,GT-GAN,Generative AI
-19.18104,-20.277187,GT-GAN,Generative AI
-12.650604,-46.20756,GT-GAN,Generative AI
-19.407267,-20.428741,GT-GAN,Generative AI
-18.510725,-20.751432,GT-GAN,Generative AI
-18.932182,-20.25562,GT-GAN,Generative AI
-13.769366,-43.182568,GT-GAN,Generative AI
-18.689367,-23.293776,GT-GAN,Generative AI
-14.516371,-38.307434,GT-GAN,Generative AI
-12.337914,-43.30884,GT-GAN,Generative AI
-18.546095,-29.936407,GT-GAN,Generative AI
-18.584238,-22.167086,GT-GAN,Generative AI
-16.486195,-36.153934,GT-GAN,Generative AI
-13.84704,-45.37671,GT-GAN,Generative AI
-12.988128,-45.879654,GT-GAN,Generative AI
-19.22517,-20.091932,GT-GAN,Generative AI
-13.686219,-42.46998,GT-GAN,Generative AI
-12.342817,-46.197193,GT-GAN,Generative AI
-18.594028,-21.467665,GT-GAN,Generative AI
-13.256711,-44.074413,GT-GAN,Generative AI
-16.53951,-36.259743,GT-GAN,Generative AI
-12.752967,-43.47858,GT-GAN,Generative AI
-15.405068,-37.459797,GT-GAN,Generative AI
-13.390979,-41.058037,GT-GAN,Generative AI
-17.958149,-19.853071,GT-GAN,Generative AI
-16.996088,-21.156263,GT-GAN,Generative AI
-13.48763,-42.432304,GT-GAN,Generative AI
-17.78969,-19.68051,GT-GAN,Generative AI
-18.290768,-31.063936,GT-GAN,Generative AI
-14.366832,-38.83969,GT-GAN,Generative AI
-18.329546,-30.92637,GT-GAN,Generative AI
-11.943408,-44.269783,GT-GAN,Generative AI
-13.045089,-45.00908,GT-GAN,Generative AI
-12.436575,-42.457466,GT-GAN,Generative AI
-13.161864,-46.987717,GT-GAN,Generative AI
-17.599533,-34.79979,GT-GAN,Generative AI
-16.956024,-36.037678,GT-GAN,Generative AI
-12.24726,-47.272137,GT-GAN,Generative AI
-17.899778,-20.099276,GT-GAN,Generative AI
-12.718359,-41.792126,GT-GAN,Generative AI
-18.239388,-20.213547,GT-GAN,Generative AI
-16.60393,-36.104042,GT-GAN,Generative AI
-18.67899,-23.319939,GT-GAN,Generative AI
-16.939646,-35.730843,GT-GAN,Generative AI
-17.822304,-32.812958,GT-GAN,Generative AI
-13.586554,-46.630226,GT-GAN,Generative AI
-18.448492,-19.854826,GT-GAN,Generative AI
-13.009518,-44.3186,GT-GAN,Generative AI
-12.967049,-44.807835,GT-GAN,Generative AI
-19.812624,-19.116207,GT-GAN,Generative AI
-18.69463,-21.924843,GT-GAN,Generative AI
-14.437206,-39.611076,GT-GAN,Generative AI
-12.153798,-44.545025,GT-GAN,Generative AI
-17.156265,-34.592216,GT-GAN,Generative AI
-18.562754,-22.100014,GT-GAN,Generative AI
-17.309555,-34.604218,GT-GAN,Generative AI
-13.029935,-46.46659,GT-GAN,Generative AI
-12.447099,-45.479202,GT-GAN,Generative AI
-19.04407,-20.582745,GT-GAN,Generative AI
-18.601204,-29.589325,GT-GAN,Generative AI
-17.118578,-35.004375,GT-GAN,Generative AI
-17.998953,-20.73766,GT-GAN,Generative AI
-13.961952,-39.55737,GT-GAN,Generative AI
-14.347476,-37.904495,GT-GAN,Generative AI
-12.347123,-45.437256,GT-GAN,Generative AI
-17.984571,-32.222183,GT-GAN,Generative AI
-18.869698,-20.09103,GT-GAN,Generative AI
-18.637865,-20.110865,GT-GAN,Generative AI
-18.670326,-23.34809,GT-GAN,Generative AI
-12.295313,-47.307518,GT-GAN,Generative AI
-12.605512,-45.819233,GT-GAN,Generative AI
-17.85395,-18.85972,GT-GAN,Generative AI
-12.883459,-44.051632,GT-GAN,Generative AI
-14.2431345,-40.796284,GT-GAN,Generative AI
-16.90887,-35.63627,GT-GAN,Generative AI
-13.8427,-42.27818,GT-GAN,Generative AI
-18.822998,-21.216478,GT-GAN,Generative AI
-14.482043,-40.106625,GT-GAN,Generative AI
-18.675108,-20.627104,GT-GAN,Generative AI
-19.056622,-22.184198,GT-GAN,Generative AI
-13.720829,-41.50087,GT-GAN,Generative AI
-15.246755,-37.78388,GT-GAN,Generative AI
-12.617712,-42.95337,GT-GAN,Generative AI
-16.215183,-35.9204,GT-GAN,Generative AI
-16.800291,-35.353592,GT-GAN,Generative AI
-19.645514,-20.460596,GT-GAN,Generative AI
-16.273514,-36.682682,GT-GAN,Generative AI
-18.694344,-28.729328,GT-GAN,Generative AI
-14.757217,-38.51243,GT-GAN,Generative AI
-14.53505,-44.634514,GT-GAN,Generative AI
-12.889344,-41.122665,GT-GAN,Generative AI
-20.099243,-20.228434,GT-GAN,Generative AI
-18.553225,-29.864891,GT-GAN,Generative AI
-14.993468,-38.616055,GT-GAN,Generative AI
-12.854313,-45.58142,GT-GAN,Generative AI
-18.612598,-23.370922,GT-GAN,Generative AI
-18.680496,-23.449652,GT-GAN,Generative AI
-12.852231,-45.282738,GT-GAN,Generative AI
-13.927744,-42.775707,GT-GAN,Generative AI
-18.709917,-28.75284,GT-GAN,Generative AI
-13.66944,-39.60425,GT-GAN,Generative AI
-13.62631,-42.825718,GT-GAN,Generative AI
-18.40935,-30.60065,GT-GAN,Generative AI
-12.451081,-47.05278,GT-GAN,Generative AI
-18.03594,-32.033768,GT-GAN,Generative AI
0.08269856,5.2672973,Diffusion,Generative AI
3.6335638,2.7420537,Diffusion,Generative AI
-4.1550837,0.14454344,Diffusion,Generative AI
0.45860463,-1.0291188,Diffusion,Generative AI
-2.230703,-2.9493842,Diffusion,Generative AI
4.71537,-4.6973233,Diffusion,Generative AI
-3.8132305,-2.6333888,Diffusion,Generative AI
1.3994536,-0.19271618,Diffusion,Generative AI
1.2718489,5.146674,Diffusion,Generative AI
-0.99927753,0.16405232,Diffusion,Generative AI
-1.7911845,1.4227585,Diffusion,Generative AI
4.3606777,0.26868448,Diffusion,Generative AI
6.7093105,-1.0051936,Diffusion,Generative AI
1.7585971,-3.105869,Diffusion,Generative AI
-0.888587,0.7794129,Diffusion,Generative AI
-0.09733648,-2.8808994,Diffusion,Generative AI
1.0493104,-1.7836081,Diffusion,Generative AI
7.0963044,2.0740995,Diffusion,Generative AI
2.1874352,-1.5808927,Diffusion,Generative AI
1.5479851,1.5731523,Diffusion,Generative AI
0.059848454,0.6444287,Diffusion,Generative AI
-0.56902355,0.5349387,Diffusion,Generative AI
3.78676,-0.11076026,Diffusion,Generative AI
1.8777547,-3.389253,Diffusion,Generative AI
2.5764709,2.860374,Diffusion,Generative AI
1.2655635,1.4025522,Diffusion,Generative AI
0.78037935,1.1460811,Diffusion,Generative AI
1.4799942,3.37693,Diffusion,Generative AI
0.56621987,0.10616987,Diffusion,Generative AI
19.020287,-38.420696,Diffusion,Generative AI
-0.36839798,-3.7216725,Diffusion,Generative AI
6.461717,0.5999355,Diffusion,Generative AI
4.5236406,-0.5179254,Diffusion,Generative AI
1.935467,-1.468772,Diffusion,Generative AI
4.3898444,0.4223314,Diffusion,Generative AI
-4.299256,2.5573843,Diffusion,Generative AI
5.021914,1.0025278,Diffusion,Generative AI
-2.3275244,2.2975864,Diffusion,Generative AI
-1.9527086,-2.8446312,Diffusion,Generative AI
5.693066,-1.7793835,Diffusion,Generative AI
6.2015557,3.2673032,Diffusion,Generative AI
-0.3820821,2.1378782,Diffusion,Generative AI
0.966245,-3.226279,Diffusion,Generative AI
4.9839664,2.4724965,Diffusion,Generative AI
1.9252851,-3.0783815,Diffusion,Generative AI
1.9114993,2.0856233,Diffusion,Generative AI
-2.7899692,1.0382102,Diffusion,Generative AI
-1.8421438,0.25207767,Diffusion,Generative AI
-3.2179136,-2.3976886,Diffusion,Generative AI
-3.6792965,1.8382533,Diffusion,Generative AI
-1.5555743,4.6939125,Diffusion,Generative AI
0.14350496,-3.3238316,Diffusion,Generative AI
-4.1608114,0.2650507,Diffusion,Generative AI
-2.386209,2.4176166,Diffusion,Generative AI
5.3064647,4.3139386,Diffusion,Generative AI
-0.723208,3.6359296,Diffusion,Generative AI
-1.845044,2.830362,Diffusion,Generative AI
-1.2513999,2.2840736,Diffusion,Generative AI
0.94937646,3.4993966,Diffusion,Generative AI
0.45667845,-2.797042,Diffusion,Generative AI
-0.764079,-1.721444,Diffusion,Generative AI
0.9094071,4.110156,Diffusion,Generative AI
3.0278294,-0.93883127,Diffusion,Generative AI
5.3133025,0.5402625,Diffusion,Generative AI
-3.007291,-0.0556404,Diffusion,Generative AI
-3.3245602,-2.9587426,Diffusion,Generative AI
-3.2613173,0.81720203,Diffusion,Generative AI
-4.2901936,0.8460692,Diffusion,Generative AI
2.285224,-0.1905207,Diffusion,Generative AI
-3.7010262,-0.39875594,Diffusion,Generative AI
-0.5687589,-2.5734167,Diffusion,Generative AI
-0.367725,-0.52610433,Diffusion,Generative AI
4.4727407,3.3988197,Diffusion,Generative AI
0.7907908,1.648661,Diffusion,Generative AI
3.6228762,3.0530646,Diffusion,Generative AI
3.8096883,-0.69423217,Diffusion,Generative AI
3.2119849,0.046642847,Diffusion,Generative AI
2.9613492,-0.58163625,Diffusion,Generative AI
-2.1182442,-0.4024948,Diffusion,Generative AI
-1.5417224,4.5715504,Diffusion,Generative AI
2.5890467,5.481622,Diffusion,Generative AI
1.171647,-5.5578327,Diffusion,Generative AI
4.599491,1.1339759,Diffusion,Generative AI
8.106019,8.2226305,Diffusion,Generative AI
2.0672922,-3.8709595,Diffusion,Generative AI
2.6145244,5.4162536,Diffusion,Generative AI
1.6331831,5.729729,Diffusion,Generative AI
-0.8884837,-0.22752747,Diffusion,Generative AI
3.4328024,0.43289053,Diffusion,Generative AI
-1.7674121,1.6853167,Diffusion,Generative AI
-2.221563,-1.3824995,Diffusion,Generative AI
4.97169,1.8010672,Diffusion,Generative AI
-0.43044546,2.0597665,Diffusion,Generative AI
4.699395,1.0401782,Diffusion,Generative AI
0.3808364,3.7964218,Diffusion,Generative AI
1.721452,-2.6976566,Diffusion,Generative AI
2.8434024,-2.053697,Diffusion,Generative AI
0.82988477,0.71887904,Diffusion,Generative AI
0.6953326,-0.54059196,Diffusion,Generative AI
0.977682,3.5614524,Diffusion,Generative AI
-2.5817788,1.630684,Diffusion,Generative AI
0.33809137,0.93621033,Diffusion,Generative AI
0.47181734,-1.0920862,Diffusion,Generative AI
-0.07489747,4.7968097,Diffusion,Generative AI
-1.0761868,-1.9688365,Diffusion,Generative AI
2.345716,4.468282,Diffusion,Generative AI
-1.1600059,0.3190221,Diffusion,Generative AI
2.594778,-2.3010843,Diffusion,Generative AI
2.0089393,2.847059,Diffusion,Generative AI
2.1830435,3.8382862,Diffusion,Generative AI
2.0206504,-1.3288331,Diffusion,Generative AI
1.9275665,1.8701521,Diffusion,Generative AI
2.0075138,0.5517542,Diffusion,Generative AI
4.193216,4.4546523,Diffusion,Generative AI
1.4875133,-1.4792283,Diffusion,Generative AI
-5.44174,1.251134,Diffusion,Generative AI
-3.471879,-1.1553631,Diffusion,Generative AI
1.1617334,-5.5611844,Diffusion,Generative AI
2.7246642,-4.209131,Diffusion,Generative AI
2.1439333,-1.3966342,Diffusion,Generative AI
0.52653265,-2.2041516,Diffusion,Generative AI
3.6383,2.0049284,Diffusion,Generative AI
0.2525914,-0.99963266,Diffusion,Generative AI
0.94028664,-2.0472338,Diffusion,Generative AI
5.057924,1.9513662,Diffusion,Generative AI
3.0981336,3.6876092,Diffusion,Generative AI
0.17648038,1.1775358,Diffusion,Generative AI
4.040099,-1.7039244,Diffusion,Generative AI
-0.21043786,3.0043774,Diffusion,Generative AI
1.4379989,0.5737448,Diffusion,Generative AI
3.9977555,5.165975,Diffusion,Generative AI
1.5400816,-2.8936758,Diffusion,Generative AI
1.1001937,-3.6626225,Diffusion,Generative AI
3.3645856,-2.7801938,Diffusion,Generative AI
1.0631984,-3.4269001,Diffusion,Generative AI
-1.8805909,-2.9791627,Diffusion,Generative AI
3.0541427,4.1041503,Diffusion,Generative AI
-2.0110197,-3.7654707,Diffusion,Generative AI
-0.28647032,2.9055982,Diffusion,Generative AI
-0.29311845,-0.6487225,Diffusion,Generative AI
-1.6921153,1.5094595,Diffusion,Generative AI
-0.82651055,-1.5860325,Diffusion,Generative AI
5.0262637,-4.729302,Diffusion,Generative AI
4.634059,4.067054,Diffusion,Generative AI
